NAME,megy_nev,oevk_name,oevkcenter,oevk_num,oevk_str,shape_leng,shape_area
Daruszentmiklós,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Baracs,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Kisapostag,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Nagylók,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Hantos,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Sárosd,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Szabadegyháza,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Seregélyes,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Szerecseny,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Gyömöre,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Fenyőfő,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Bakonyszentlászló,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Románd,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Bakonygyirót,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Veszprémvarsány,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Sikátor,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Kajárpéc,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Felpéc,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Tényő,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Sokorópátka,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Ravazd,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
Győrújbarát,Gy?r-Moson-Sopron,-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96"
